,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location,drop_location
363,2,1/1/16,23:05,1/1/16,23:15,N,1,-73.8442688,40.72131729,-73.87306976,40.71951675,1,1.9,9.5,0.5,0.5,2.16,0.0,,0.3,12.96,1,1,23,23,Queens,Queens
364,2,1/1/16,16:16,1/1/16,16:24,N,1,-73.93907166,40.84379578,-73.95491791,40.82023621,1,1.85,8.5,0.0,0.5,1.86,0.0,,0.3,11.16,1,1,16,16,Manhattan,Manhattan
365,2,1/1/16,21:12,1/1/16,22:05,N,1,-73.96023559999999,40.65154648,-74.00319672,40.72547531,1,11.28,42.5,0.5,0.5,8.76,0.0,,0.3,52.56,1,1,21,22,Brooklyn,Manhattan
366,2,1/1/16,23:36,1/1/16,23:40,N,1,-73.94178009,40.81300354,-73.94987488,40.80195618,1,0.88,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1,23,23,Manhattan,Manhattan
367,2,1/1/16,3:56,1/1/16,4:16,N,1,-73.99254608,40.69436264,-73.99242401,40.61692429,1,7.99,25.0,0.5,0.5,0.0,0.0,,0.3,26.3,2,1,3,4,Brooklyn,Brooklyn
368,2,1/1/16,19:38,1/1/16,19:53,N,1,-73.97597504,40.68399811,-73.95720673,40.65372849,1,2.99,13.0,0.0,0.5,2.0,0.0,,0.3,15.8,1,1,19,19,Brooklyn,Brooklyn
369,2,1/1/16,1:16,1/1/16,1:28,N,1,-73.93848419,40.74944687,-73.91445923,40.7657814,1,2.07,10.0,0.5,0.5,3.39,0.0,,0.3,14.69,1,1,1,1,Queens,Queens
370,2,1/1/16,0:26,1/1/16,0:32,N,1,-73.96662140000001,40.80400848,-73.95489502,40.82013321,1,1.29,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,0,0,Manhattan,Manhattan
371,2,1/1/16,0:41,1/1/16,0:46,N,1,-73.93756866,40.80408096,-73.93308258,40.79522324,1,1.05,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,0,0,Manhattan,Manhattan
372,2,1/1/16,0:33,1/1/16,0:48,N,1,-73.95751953,40.72003555,-73.99494171,40.71837616,1,3.34,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,1,1,0,0,Brooklyn,Manhattan
373,1,1/1/16,4:39,1/1/16,4:40,Y,1,-73.95694733,40.81414795,-73.9528656,40.81082535,1,0.3,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,3,1,4,4,Manhattan,Manhattan
374,2,1/1/16,0:43,1/1/16,1:06,N,1,-73.90897369,40.76328278,-73.96340179,40.67581177,1,9.22,27.5,0.5,0.5,5.76,0.0,,0.3,34.56,1,1,0,1,Queens,Brooklyn
375,2,1/1/16,2:45,1/1/16,2:54,N,1,-73.95720673,40.68914795,-73.97742462,40.6800766,1,2.17,8.5,0.5,0.5,1.96,0.0,,0.3,11.76,1,1,2,2,Brooklyn,Brooklyn
376,1,1/1/16,5:42,1/1/16,5:49,N,1,-73.94893646,40.67501831,-73.95095062,40.65399933,1,1.8,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,5,5,Brooklyn,Brooklyn
377,2,1/1/16,6:58,1/1/16,7:04,N,1,-73.92664337,40.86120987,-73.94033813,40.83376694,1,2.81,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2,1,6,7,Manhattan,Manhattan
378,1,1/1/16,20:31,1/1/16,20:52,N,1,-73.99335479999999,40.70248413,-73.99781799,40.75621796,2,5.5,19.5,0.5,0.5,0.0,0.0,,0.3,20.8,2,1,20,20,Brooklyn,Manhattan
379,1,1/1/16,17:26,1/1/16,17:42,N,1,-73.9779129,40.68981171,-73.87320709,40.77435303,1,10.2,28.5,0.0,0.5,3.0,0.0,,0.3,32.3,1,1,17,17,Brooklyn,Queens County
380,2,1/1/16,7:24,1/1/16,7:32,N,1,-73.86675262,40.75746536,-73.89876556,40.75074768,1,1.96,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2,1,7,7,Queens,Queens
381,2,1/1/16,21:49,1/1/16,22:02,N,1,-73.86994171,40.72603226,-73.81839752,40.70987701,5,3.74,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,2,1,21,22,Queens,Queens
382,2,1/1/16,3:42,1/1/16,4:25,N,1,-73.95533752,40.7210083,-73.94517517,40.82299423,1,10.52,36.5,0.5,0.5,5.0,0.0,,0.3,42.8,1,1,3,4,Brooklyn,Manhattan
383,2,1/1/16,21:09,1/1/16,21:13,N,1,-73.95858002,40.71699905,-73.94834137,40.72456741,1,0.77,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,21,21,Brooklyn,Brooklyn
384,2,1/1/16,3:00,1/1/16,3:20,N,1,-73.90245819,40.64535522,-73.9495697,40.67766953,1,4.3,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1,3,3,Brooklyn,Brooklyn
385,1,1/1/16,17:13,1/1/16,17:27,N,1,-73.98050690000001,40.66814041,-73.93099976,40.66517639,1,3.6,13.5,0.0,0.5,2.0,0.0,,0.3,16.3,1,1,17,17,Brooklyn,Brooklyn
386,2,1/1/16,13:59,1/1/16,14:05,N,1,-73.94854736,40.80915833,-73.95554352,40.80408859,1,0.95,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2,1,13,14,Manhattan,Manhattan
