,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
775,63941,1,1/1/16,23:56,1/1/16,23:57,N,1,-73.94234467,40.79767227,-73.94527435,40.79175186,1,0.4,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1.0,23,23,Manhattan
776,39357,2,1/1/16,11:55,1/1/16,12:02,N,1,-73.9444809,40.7871933,-73.96427155,40.79247284,1,1.29,7.0,0.0,0.5,3.0,0.0,,0.3,10.8,1,1.0,11,12,Manhattan
777,44134,2,1/1/16,15:16,1/1/16,15:25,N,1,-73.92147827,40.74337387,-73.92572784,40.76433563,1,1.86,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2,1.0,15,15,Queens
778,36002,1,1/1/16,7:33,1/1/16,7:47,N,1,-73.90404509999998,40.8800621,-73.95272064,40.82323837,1,6.1,19.5,0.0,0.5,0.0,0.0,,0.3,20.3,2,1.0,7,7,Bronx
779,37055,1,1/1/16,8:08,1/1/16,8:15,N,1,-73.83868408,40.71724319,-73.84747314,40.71191406,1,1.0,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0,8,8,Queens
780,50280,2,1/1/16,18:12,1/1/16,18:19,N,1,-73.93664551,40.80262756,-73.95439911,40.77921677,1,2.31,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2,1.0,18,18,Manhattan
781,53372,2,1/1/16,19:33,1/1/16,19:39,N,1,-73.95107269,40.72431564,-73.95609283,40.73652649,1,1.28,6.5,0.0,0.5,1.46,0.0,,0.3,8.76,1,1.0,19,19,Brooklyn
782,7383,2,1/1/16,1:06,1/1/16,1:23,N,1,-73.92424011,40.69324112,-73.96518707,40.6741066,1,3.42,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,1,1.0,1,1,Brooklyn
783,62089,1,1/1/16,22:03,1/1/16,22:23,N,1,-73.98735809,40.69215393,-73.92626953,40.67396164,2,4.2,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1.0,22,22,Brooklyn
784,58564,2,1/1/16,21:45,1/1/16,21:48,N,1,-73.91053009,40.77632904,-73.92190552,40.77256393,6,0.86,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1.0,21,21,Queens
